Score,Sentiment,Summary,Text,clean_text
4,Positive,They lasted less than 24 hours in this house...,"I try not to buy a lot of cookies for the house (save the kind sold by little girls in uniforms), as they tend to sit around and get stale until I finally throw them out.  But I do like peanut butter and chocolate, and decided to give the Peanut Butter Oreo Fudge Creme cookies a try.<br /><br />I was disappointed that the cookie wasn't thicker, as this cookie feels about 1/2 as thick as a regular Oreo cookie, and tended to break a little too easily.  And at first I thought the chocolate to peanut butter ratio wasn't quite right.<br /><br />But, the cookies lasted less than a day in our house before the package was empty.  So my initial misgivings must have been wrong.  In the end, I decided these cookies were tasty, and would probably hit the spot, if I were having some sort of peanut butter and chocolate cookie craving in the grocery store.<br /><br />But I am generally disappointed with the number of servings in a package (the cookies are individually spaced, making the package much larger than it needs to be for the number of cookies contained within it).  At this price, I probably would not buy the cookies on a regular basis, and would certainly not buy them to feed hungry teenagers (as the quantity of cookies would not feed too many).<br /><br />Overall, not bad cookies, just not a great value.",try buy lot cooky house save kind sold little girl uniform tend sit around get stale finally throw like peanut butter chocolate decided give peanut butter oreo fudge creme cooky tryi disappointed cookie wasnt thicker cookie feel thick regular oreo cookie tended break little easily first thought chocolate peanut butter ratio wasnt quite rightbut cooky lasted less day house package empty initial misgiving must wrong end decided cooky tasty would probably hit spot sort peanut butter chocolate cookie craving grocery storebut generally disappointed number serving package cooky individually spaced making package much larger need number cooky contained within price probably would buy cooky regular basis would certainly buy feed hungry teenager quantity cooky would feed manyoverall bad cooky great value
3,Neutral,It's reverse osmosis filtered municipal water with baking soda added - tastes fine but nothing special,"I travel a lot and tend to often buy bottled water as I go through airports and gas stations.  I've had enough different types that I know what flavors I like and what flavors I don't like.  I like spring waters like Fiji and purified municipal water like Dasani, so I am not that particular.  Water that has gone through reverse osmosis is about the purest water you can get, but many do not like the flavor because the same purification process that removes chemicals also removes minerals that give water its flavor.  Reverse osmosis water is often said to taste ""flat"", and some health gurus even claim it robs the bones of calcium, although these claims are dubious at best.<br /><br />Enter Essentia bottled water.  It claims that after the reverse osmosis, they add back in electrolytes to improve the flavor (listed on label, minerals like calcium carbonate).  In fact, it tastes like reverse osmosis water with some electrolytes added - still not as full and refreshing as spring water that is merely filtered, but definitely better than plain reverse osmosis water.  Afterwards, they add baking soda to raise the pH to 9.5, purpotedly because there are health benefits to drinking water with a high pH.  These claims have not been evaluated by the FDA, and the Mayo clinic website says there are no conclusive studies.<br /><br />Honestly, the flavor did not sit well with me or my wife, and the science backing up the amazing health claims is dubious at best.  It's not terrible, but nothing that special either.  I'm rating it 3 stars because while it is fine water, the taste just wasn't for me.  You can make up your own mind - if you want high pH water, then this would be a fine choice.  But if you just want fresh tasting water, there are less expensive and better tasting options in my opinion.",travel lot tend often buy bottled water go airport gas station ive enough different type know flavor like flavor dont like like spring water like fiji purified municipal water like dasani particular water gone reverse osmosis purest water get many like flavor purification process remove chemical also remove mineral give water flavor reverse osmosis water often said taste flat health guru even claim robs bone calcium although claim dubious bestenter essentia bottled water claim reverse osmosis add back electrolyte improve flavor listed label mineral like calcium carbonate fact taste like reverse osmosis water electrolyte added still full refreshing spring water merely filtered definitely better plain reverse osmosis water afterwards add baking soda raise ph purpotedly health benefit drinking water high ph claim evaluated fda mayo clinic website say conclusive studieshonestly flavor sit well wife science backing amazing health claim dubious best terrible nothing special either im rating star fine water taste wasnt make mind want high ph water would fine choice want fresh tasting water less expensive better tasting option opinion
3,Neutral,Pleasant blackberry flavor,"This tea is a vast improvement over other 'fruit flavored' teas I have tried. The flow-easy poly teabags literally gush flavor into the hot water and the tea does indeed taste as if it is infused with blackberries. The name cites vanilla as an additional flavor, and I suppose I would have to taste it without the vanilla to tell, but if there is vanilla in it, it seems to exist only on the back end of the sip of tea - meaning after you've swallowed it, if you exhale you can smell a hint of vanilla. The tea is fairly astringent, made smoother with a bit of sweetening - I like plain old sugar, (sorry, you honey-purists) but that gave it a hint of cough-medicine taste. One major gripe - or I would have given it four stars - is the ingredient named 'NATURAL FLAVOR' which is usually food-industry-speak for MSG. I'm not saying there is MSG in this tea, just that there is some mystery substance probably created in a lab somewhere. Honestly, I'd rather not consume the chemistry experiment.<br />Still, for a berry tea, it isn't bad. I'll keep it as an option to black or green and herbal teas to guests who are not as persnickety about ingredients as I, but I prefer teas to have identifiable ingredients.",tea vast improvement fruit flavored tea tried floweasy poly teabags literally gush flavor hot water tea indeed taste infused blackberry name cite vanilla additional flavor suppose would taste without vanilla tell vanilla seems exist back end sip tea meaning youve swallowed exhale smell hint vanilla tea fairly astringent made smoother bit sweetening like plain old sugar sorry honeypurists gave hint coughmedicine taste one major gripe would given four star ingredient named natural flavor usually foodindustryspeak msg im saying msg tea mystery substance probably created lab somewhere honestly id rather consume chemistry experimentstill berry tea isnt bad ill keep option black green herbal tea guest persnickety ingredient prefer tea identifiable ingredient
5,Positive,Best Bars,These are the best tasting fiber bars on the market.  They also have the best consistency.  Amazon occasionally has them for a great subscribe price.,best tasting fiber bar market also best consistency amazon occasionally great subscribe price
1,Negative,poor service from this company,"When I purchased this sauce to aid in my Atkins diet, it was shown CLEARLY to be a 6 pack.  The title said it, the photo had one of those little text bubbles on it that said ""6 pack"" and the shipping weight was listed at like 5 pounds or something.  TITLE AS LISTED: ""Walden Farms Sauce Barbecue Thick Calorie Free, 12-Ounce Bottles (Pack of 6)""<br /><br />One (1) bottle arrived, so I called the shipper who said the listing was wrong, and not their fault.  They said Amazon writes the listing (Lies) and to contact them.<br />I called Amazon, they said no, they couldn't possibly be responsible for the misprint on the ad, as they sell millions oof products for tens of thousands of companies, and each company writes their own ads for their own products. (Truth) and that I should make every attempt to resolve the conflict with the seller.<br />After several more ""going nowhere"" calls with the supplier, they said the only way they would do anything is to submit it for resolution with Amazon, and I'd probably get my money partially refunded.<br /><br />Amazon ended refunding all of my purchase price and shipping.<br /><br />I can't wait to never buy from All Star Health , ever, ever again.  I hope my review inspires you to look elsewhere as well. Bad, poor, lousy, unpleasant, untruthful customer service.<br /><br />By the way, the sauce is good, and I have since found it available in my local CUB Foods grocery store in their diabetic section.",purchased sauce aid atkins diet shown clearly pack title said photo one little text bubble said pack shipping weight listed like pound something title listed walden farm sauce barbecue thick calorie free ounce bottle pack one bottle arrived called shipper said listing wrong fault said amazon writes listing lie contact themi called amazon said couldnt possibly responsible misprint ad sell million oof product ten thousand company company writes ad product truth make every attempt resolve conflict sellerafter several going nowhere call supplier said way would anything submit resolution amazon id probably get money partially refundedamazon ended refunding purchase price shippingi cant wait never buy star health ever ever hope review inspires look elsewhere well bad poor lousy unpleasant untruthful customer serviceby way sauce good since found available local cub food grocery store diabetic section
4,Positive,Cant find in store,"I love this stuff! I cannot find it in local stores. Sold here in boxes of 6 bottles. However, the exp date is in 6 months.",love stuff cannot find local store sold box bottle however exp date month
5,Positive,Unbelievable - healthy and incredibly tasty,"YUM - what can I say. I am a sucker for BBQ chips and these really taste delicious, especially for something that is good for you. I agree that they leave you wanting more, so beware. ;-) So yummy!",yum say sucker bbq chip really taste delicious especially something good agree leave wanting beware yummy
3,Neutral,Interesting price hike,I had this item in my cart yesterday at $7.99. I pop on this morning to add a couple more items to my cart and wow! An over night price hike up to $14.99!! Dr. Oz made a comment in a magazine about the great affects of this tea. Tisk Tisk. I give it 3 stars only because I've not tasted it and at that price hike I'll not be ordering it from THIS (Prince of Peace) company. Too bad all the PoP company saw was dollar signs.,item cart yesterday pop morning add couple item cart wow night price hike dr oz made comment magazine great affect tea tisk tisk give star ive tasted price hike ill ordering prince peace company bad pop company saw dollar sign
5,Positive,Dog Loves It!,"My dog LOVES this! She rarely plays as she's an older beagle, but shake the cube with some food it in and no matter where in he house she it, she'll come runnin'.<br /><br />We got the same brand dog food, just different flavor, so she thinks it's a ""treat"" but we can still keep it low cal as beagles are prone to weight problems.<br /><br />I would also make sure you watch them play and pick it up when it's empty as this will help them realize when it's on the floor, there's food, otherwise they might get bored of it. We've had it for a few months and she STILL loves it!<br /><br />What a simple product with a fun result!",dog love rarely play shes older beagle shake cube food matter house shell come runninwe got brand dog food different flavor think treat still keep low cal beagle prone weight problemsi would also make sure watch play pick empty help realize floor there food otherwise might get bored weve month still love itwhat simple product fun result
5,Positive,"A pleasant surprise, and quite possibly my new favorite cereal.","When I first got these, I was expecting a Honey Nut Cheerios knockoff. I'm not a big fan of breakfast cereal and normally would rather eat something like bacon & eggs for breakfast, but I ordered these from Amazon since it's been awhile since I reviewed anything for the Amazon Vine Program, and I figured this would be an easy review.<br /><br />Surprisingly, not only are these not a knockoff of Honey Nut Cheerios, in fact the taste reminds me of what was my favorite cereal as a kid, but was sadly discontinued by Post. The cereal I am referring to is Waffle Crisp, a Post brand cereal with a maple-syrup taste to them, and one of the only cereals I actually enjoyed enough that I would choose it over bacon & eggs.<br />This doesn't have the same maple-syrup taste as Waffle Crisp though, it has more of a honey-roasted nut taste like the box suggests. However, something about the taste of the cereal itself, (beyond the honey flavor) reminds me of Waffle Crisp.<br /><br />Once more, I'm not big into breakfast cereal, but I could really see myself buying this in the future, and I most likely will, assuming I can find it at my local grocery store. So if you were a fan of the late Waffle Crisp cereal or just plain looking for something different, try these out.",first got expecting honey nut cheerio knockoff im big fan breakfast cereal normally would rather eat something like bacon egg breakfast ordered amazon since awhile since reviewed anything amazon vine program figured would easy reviewsurprisingly knockoff honey nut cheerio fact taste reminds favorite cereal kid sadly discontinued post cereal referring waffle crisp post brand cereal maplesyrup taste one cereal actually enjoyed enough would choose bacon eggsthis doesnt maplesyrup taste waffle crisp though honeyroasted nut taste like box suggests however something taste cereal beyond honey flavor reminds waffle crisponce im big breakfast cereal could really see buying future likely assuming find local grocery store fan late waffle crisp cereal plain looking something different try
5,Positive,love this book,"Great book, perfect condition arrived in a short amount of time, long before the expected delivery date",great book perfect condition arrived short amount time long expected delivery date
4,Positive,"Not the ones I got in Germany recently, but....","I ate them all anyway.  There are new flavors for gummi bears that I got in Germany in October and these were not the same, so I was a little disappointed.  But these are still better than what you get in the supermarket, so every now and then they're worth the splurge...",ate anyway new flavor gummi bear got germany october little disappointed still better get supermarket every theyre worth splurge
5,Positive,Delicious,"I was a little hesitant about trying these chips because I am very fond of another brand. But upon tasting these and using them in several recipes, I have found that they are quite delicious! I have no intention of switching back - these are perfect.",little hesitant trying chip fond another brand upon tasting using several recipe found quite delicious intention switching back perfect
5,Positive,&lt;3 it!,"I am the only coffee drinker in my house, and I only have 2-3 cups a day.  I love having a Keurig and I love hazelnut coffee.  Gloria Jeans Hazelnut is the perfect flavor for me.  I love this items comes in a 50 pack and with Prime I can refill easily.",coffee drinker house cup day love keurig love hazelnut coffee gloria jean hazelnut perfect flavor love item come pack prime refill easily
3,Neutral,Rhubarb Spread,"I should have read the label on this: It is a spread, not jam. The flavor is acceptable, but I've been looking for a good rhubarb (not rhubarb-strawberry) jam since Bonne Maman stopped making theirs several years ago. I'm not rating my disappointment, though--even as a spread I thought this was average. I've also tried Andresy's rose jan (3 stars) and fig jam (4 stars).",read label spread jam flavor acceptable ive looking good rhubarb rhubarbstrawberry jam since bonne maman stopped making several year ago im rating disappointment thougheven spread thought average ive also tried andresys rose jan star fig jam star
3,Neutral,"good for black, very nice tins","This tea was decent and the price was pretty good.  However, don't expect the smoothness of a good quality silver needle.  It can be on the bitter side coming from higher quality teas (and types) but it is a black tea and that is to be expected to an extent.  As far as black tea goes I liked it.<br /><br />The tins are really nice with two lids (as tins should be).  One lid pops in and the other fits on top and semi-locks with a twist.  Definitely worth saving to use with tea that comes without tins (in bags).",tea decent price pretty good however dont expect smoothness good quality silver needle bitter side coming higher quality tea type black tea expected extent far black tea go liked itthe tin really nice two lid tin one lid pop fit top semilocks twist definitely worth saving use tea come without tin bag
1,Negative,No more Smuckers for my family,I am disappointed that Smuckers is spending so much $$$ to defeat Prop 37. They label in the UK and Europe but refuse to in the United States. I support Yes on Prop 37. I want to know what I am feeding my family. Google - Smuckers spends money to defeat Prop 37.,disappointed smuckers spending much defeat prop label uk europe refuse united state support yes prop want know feeding family google smuckers spends money defeat prop
5,Positive,LaraBar Jocalat Chocolate Coffee -- Excellent!,"I have recently discovered LaraBars, and their whole-food sugar-free goodness. This was my first try of the Jocolat line... as has been suggested here, it's probably best to buy a single bar somewhere before buying a pack of 16 of them, and the chocolate coffee version was the only one I've found locally yet. So that was what I tried -- I love it and immediately came online to Amazon to order more.<br /><br />It's much more like a dessert than the regular LaraBars to me, almost like a brownie. I like the kick of coffee in it, and wonder if it helps with the flavor that some seem not to like. On the other hand, if you're expecting a decadent sugar-laden brownie, you will definitely be disappointed. This is a product you buy if you value whole foods and no sugar or artificial flavors. (Dates seem to be the main source of the sweet in LaraBars.) Also, if you don't like dark chocolate, this will not be for you.<br /><br />In general, I do find the texture of LaraBars takes a little getting used to. It's all those mushed up dates, which makes it very gummy, and then the contrast of the nuts. I'm past this now, but I know that some will just not like the texture.<br /><br />My only hesitation with this specific product is that I'm not entirely sure the niche this has in my diet. The regular LaraBars seem better as ""food"" (I eat them sometimes when I miss or am late for a meal). This seems more like ""dessert"".",recently discovered larabars wholefood sugarfree goodness first try jocolat line suggested probably best buy single bar somewhere buying pack chocolate coffee version one ive found locally yet tried love immediately came online amazon order moreits much like dessert regular larabars almost like brownie like kick coffee wonder help flavor seem like hand youre expecting decadent sugarladen brownie definitely disappointed product buy value whole food sugar artificial flavor date seem main source sweet larabars also dont like dark chocolate youin general find texture larabars take little getting used mushed date make gummy contrast nut im past know like texturemy hesitation specific product im entirely sure niche diet regular larabars seem better food eat sometimes miss late meal seems like dessert
5,Positive,MILLET,My wife has Celiac and this product is one she can eat. She says it is munchy and great.,wife celiac product one eat say munchy great
5,Positive,"Intensely salty, healthy salt","We were pleased with this salt. It's actually more salty than regular salt, even kosher salt or sea salt.  A little bit goes a long way!  I don't usually cook with it, but add it to things afterwards. I've been hand grinding it.",pleased salt actually salty regular salt even kosher salt sea salt little bit go long way dont usually cook add thing afterwards ive hand grinding
5,Positive,Cat Love It!,"I have two cats. One is extremely finicky, even with treats, but they both love this.",two cat one extremely finicky even treat love
5,Positive,Excellent nuts,"These nuts are for my husband who loves them.  They are tender, tasty and nutritious.  I must keep them on hand because he has about 3 ounces as a snack every evening.  I will continue to purchase these.",nut husband love tender tasty nutritious must keep hand ounce snack every evening continue purchase
5,Positive,RED LICORICE,BEST LICORICE I HAVE EVER HAD  SOFT NOT HARD  GREAT VALUE EVERYONE I GAVE A PIECE TO RAVED ABOUT IT,best licorice ever soft hard great value everyone gave piece raved
5,Positive,Wonderful coffee!,"I recently ordered Green Mountain dark Magic K cups for my keurig machines - at the home and in the office.  This coffee flavor/brand is about the best I have had for the machine.  It is dark and flavorful and not at all bitter or acidic.  Bold, full, aromatic.  It is my new favorite<a href=""http://www.amazon.com/gp/product/B001EO6ESS"">Green Mountain Coffee Decaf Dark Magic, 24-Count K-Cups for Keurig Brewers (Pack of 2)</a>",recently ordered green mountain dark magic k cup keurig machine home office coffee flavorbrand best machine dark flavorful bitter acidic bold full aromatic new favoritegreen mountain coffee decaf dark magic count kcups keurig brewer pack
5,Positive,"awesome,","This is an awesome tasting coffee, I love flavored coffee, this is my favorite, I love the rich taste and the Rasberry flavor mixed with chocolate is great.",awesome tasting coffee love flavored coffee favorite love rich taste rasberry flavor mixed chocolate great
3,Neutral,"Good flavor, but watered down","I liked the flavor of this drink.  On the up side, they're only 100 calories per can, and it didn't have that metallic taste that sometimes permeates canned coffee drinks.  It wasn't overly sweet, but seemed to lack a strong coffee punch.  Also, it tasted watered down compared to other drinks I've had, and that was the biggest negative.  I did like it, but just wanted something with more to it rather than feeling like each sip was only giving me half the flavor.",liked flavor drink side theyre calorie per didnt metallic taste sometimes permeates canned coffee drink wasnt overly sweet seemed lack strong coffee punch also tasted watered compared drink ive biggest negative like wanted something rather feeling like sip giving half flavor
1,Negative,A Gluten Free Ewweee.,"Like other reviewers, I rarely eat cookies because I have an anaphylactic response to wheat/gluten. Therefore I generally 'love' any cookies I'm not allergic to. These are an exception. The taste is mild and fleeting. The texture is like sand and leaves a dry feeling in your mouth. The only purpose these cookies are good for is dieting, because they are simply inedible. Blah.",like reviewer rarely eat cooky anaphylactic response wheatgluten therefore generally love cooky im allergic exception taste mild fleeting texture like sand leaf dry feeling mouth purpose cooky good dieting simply inedible blah
5,Positive,good timing,"I ordered the wheat at the same time as my new juicer, so it was great to have the seed arrive so quickly. Now I am sprouting my seed already (germination is looking good) as I await the arrival of the juicer.",ordered wheat time new juicer great seed arrive quickly sprouting seed already germination looking good await arrival juicer
5,Positive,Awesomesauce!,You need to try this sauce ASAP! It is drop dead delish! I eat it on pasta and throw in some field roast veggie sausage. Great combo!,need try sauce asap drop dead delish eat pasta throw field roast veggie sausage great combo
2,Negative,Too Bland :(,"This is a Knorr miss :( BLAND, very bland. It's a foundation crying for other ingredients. Didn't taste anything like the Scampi I've eaten in the past. I'd only order this when deeply discounted to use as a noodle base for other dishes. Even at less than TEN bucks it was still disappointing.",knorr miss bland bland foundation cry ingredient didnt taste anything like scampi ive eaten past id order deeply discounted use noodle base dish even less ten buck still disappointing
5,Positive,5 pounds of excellent gummi bears,"Monetarily it's a fair deal, not extraordinary.. but fair. Take a moment and think about yourself. You are reading a review about gummi bears. Clearly you are the type of person who would find a 5 pound box of Haribo Gummi's to be a wonderful thing. And it is.",monetarily fair deal extraordinary fair take moment think reading review gummi bear clearly type person would find pound box haribo gummis wonderful thing
5,Positive,What happened?,"I just got this in the mail today.  I ordered it two days ago and it qualified for prime shipping.  today I went back thinking I would order some more and it's no longer Prime and the shipping is $11, so forget it.  It is delicious but not at that price.  I'm going to try another brand.  If you don't mind about $22 a jar go for it because it is really good.",got mail today ordered two day ago qualified prime shipping today went back thinking would order longer prime shipping forget delicious price im going try another brand dont mind jar go really good
5,Positive,Gluten Free - Pamela's Way,"I've been trying this bread mix for around six months now, firstly by mixing it manually and then in a bread maker; both come out first class but the bread maker version just has the edge! The baked loaf has a superb flavour as well as retaining it's moisture for days. If you are thinking of using this great gluten free product then don't hesitate, just buy it and enjoy.<a href=""http://www.amazon.com/gp/product/B000DZFMEQ"">Pamela's Products Wheat-Free & Gluten-Free Bread Mix, 19-Ounce Packages (Pack of 6)</a>",ive trying bread mix around six month firstly mixing manually bread maker come first class bread maker version edge baked loaf superb flavour well retaining moisture day thinking using great gluten free product dont hesitate buy enjoypamelas product wheatfree glutenfree bread mix ounce package pack
1,Negative,"Barley is gluten, dummy.","Barley IS gluten. This item is NOT gluten free. People with allergies or Celiacs Disease DO NOT EAT THIS PLEASE! It WILL make you sick. Also, this company could get sued for selling things that will make people ill. Claiming your bars are gluten free when they are not is stupid. Don't be dumb. Take this off of the gluten free list.",barley gluten item gluten free people allergy celiacs disease eat please make sick also company could get sued selling thing make people ill claiming bar gluten free stupid dont dumb take gluten free list
4,Positive,Tasty alternative to the other Chocolate & Peanut Butter Candy,"I got these as a thank you gift to someone who loves chocolate & peanut butter.  It was a good gift because it was a little different that what is available at the grocery store check out line. Also, of course, they are delicious and with four packages there's enough to share or hand out as Halloween candy and still last awhile.",got thank gift someone love chocolate peanut butter good gift little different available grocery store check line also course delicious four package there enough share hand halloween candy still last awhile
5,Positive,The best hot cocoa I've ever tasted,"This is, quite simply, the best hot cocoa I've ever tasted.  Being a self-admitted chocoholic, I've tasted a LOT of hot cocoa.  I even prefer Nestle's Double Chocolate Meltdown to pricier choices like Godiva or Ghirardelli.  This cocoa is smoother and more chocolaty than anything else I've found out there.  I highly recommend it.",quite simply best hot cocoa ive ever tasted selfadmitted chocoholic ive tasted lot hot cocoa even prefer nestle double chocolate meltdown pricier choice like godiva ghirardelli cocoa smoother chocolaty anything else ive found highly recommend
5,Positive,YUM!,"These little things are way too delicious.  I saw some reviews saying they are ""healthy"".. and I would have to say that maybe they're not as bad for you as the awful traditional GMO-corn-syrup gelatin ones, but still just a sweet dessert treat.  I highly recommend them.",little thing way delicious saw review saying healthy would say maybe theyre bad awful traditional gmocornsyrup gelatin one still sweet dessert treat highly recommend
5,Positive,Best Beans EVAH!!!,These are the best beans I have ever had. I like to put a little bit of oil in a sauce pan first. Then add these beans and stir until combined. They are DELICIOUS!!!!,best bean ever like put little bit oil sauce pan first add bean stir combined delicious
5,Positive,delicious,"To my taste, the best cocoas out there.  Especially like the creme brulee and the caramel flavors.  The only downside is the price, a little high.",taste best cocoa especially like creme brulee caramel flavor downside price little high
3,Neutral,Beware of Carpet Stains,"My 35 lb cocker loves his new treat ball. The postman brought the treat ball in the morning and the dog spent all afternoon playing with it. Because I was busy and the dog was happily occupied I failed to notice for quite a while that the Everlasting brand chicken treat that came with the toy was making nasty stains all over the beige wall-to-wall carpet in my office. I'm pretty sure my pup isn't any more slobbery than any other avidly chewing canine. But his slobber and the chicken treat combined to create a trail of ugly mustard-colored carpet stains all over the room. In addition to a bunch of spots all over the place, I found a few large stains in out-of-the-way places where my dog had settled for awhile to lick and chew away at the toy. The treat ball itself is just fine -- I have no complaints about it as a quality dog toy. But I have serious issues with the food coloring that's used in the Everlasting treats that pop into the ball. I've just used up an entire aerosol can of carpet cleaner and an hour of elbow grease to remove the stains from my carpet. After this experience I won't be buying any Everlasting brand treats to put in my pup's new chew toy. If you're going to be using this product outdoors, then the Everlast treats might be just fine. But if you're planning to let your dog play with this toy indoors, and you've got nice flooring that you care about keeping reasonably clean, it's best to avoid the Everlast treat inserts.",lb cocker love new treat ball postman brought treat ball morning dog spent afternoon playing busy dog happily occupied failed notice quite everlasting brand chicken treat came toy making nasty stain beige walltowall carpet office im pretty sure pup isnt slobbery avidly chewing canine slobber chicken treat combined create trail ugly mustardcolored carpet stain room addition bunch spot place found large stain outoftheway place dog settled awhile lick chew away toy treat ball fine complaint quality dog toy serious issue food coloring thats used everlasting treat pop ball ive used entire aerosol carpet cleaner hour elbow grease remove stain carpet experience wont buying everlasting brand treat put pup new chew toy youre going using product outdoors everlast treat might fine youre planning let dog play toy indoors youve got nice flooring care keeping reasonably clean best avoid everlast treat insert
5,Positive,Wonderful!,"I was feeding my cats a different type of high quality food, but I noticed I was having to fill it less, and one of my cats was losing weight. Switched to this, and he immediately chowed down. Free shipping is such a benefit. I'll switch to this completely.",feeding cat different type high quality food noticed fill less one cat losing weight switched immediately chowed free shipping benefit ill switch completely
2,Negative,Smashed up cans,"Four out of twelve cans were dented, 3 severely so--the cans are caving in.  I'll try to load a picture.  I have no idea if this was a shipping malfunction (the box wasn't THAT damaged) or if this is why the cans are so well priced?  Now I'm wondering if they're also expired?  If there is an expiration date on the can, it is encoded, so I won't be able to tell if this is just cosmetic damage or not safe to use?",four twelve can dented severely sothe can caving ill try load picture idea shipping malfunction box wasnt damaged can well priced im wondering theyre also expired expiration date encoded wont able tell cosmetic damage safe use
